,,,
,,,
,frangos abatidos,,quantidade de frangos vendidos
,13 abates,,7 frangos
,,,
,preço do kg,,Preço de retorno 
,"R$ 14,70",,270.50
,,,
,Taxa de abate ,,Frangos nao abatidos
,"R$ 15,00",,26
